srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services under General economic services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food (NSSF),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services under Administrative services ,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department
UTTAR PRADESH,2012-13,Accounts,14072364.0,7463767.0,5330032.0,2938262.0,506820.0,245065.0,2300.0,5935.0,87788.0,446838.0,110267.0,911442.0,,63025.0,12289.0,2133735.0,459843.0,156365.0,59782.0,50458.0,8010.0,4694.0,43540.0,510.0,,15444.0,,119916.0,1125.0,462528.0,2738.0,467406.0,323415.0,108878.0,14887.0,465024.0,459343.0,36868.0,26780.0,10003.0,86.0,212293.0,202424.0,9870.0,3266.0,23768.0,8492.0,1824.0,2812.0,10640.0,5990672.0,159573.0,329533.0,327703.0,1830.0,2518228.0,826169.0,1692059.0,132756.0,1217778.0,659291.0,494653.0,334909.0,6616.0,1188113.0,31972.0,49070.0,866412.0,89510.0,151149.0,1792061.0,3164.0,,617924.0,617924.0,,
TAMIL NADU,2012-13,Budget Estimates,9821385.0,5666769.0,3901443.0,1695379.0,404832.0,72836.0,24761.0,61103.0,204174.0,189423.0,38879.0,917675.0,267159.0,11557.0,13666.0,1765325.0,531062.0,300950.0,15642.0,57831.0,7426.0,26283.0,24072.0,4.0,,37688.0,,49669.0,11497.0,124523.0,873.0,103735.0,87985.0,9646.0,4157.0,195489.0,195190.0,183354.0,66322.0,117031.0,,100757.0,96982.0,3775.0,1092.0,524442.0,7826.0,5013.0,498274.0,13330.0,3232243.0,89413.0,90905.0,86155.0,4750.0,1118282.0,80000.0,1038282.0,49163.0,853589.0,567929.0,236650.0,126113.0,9416.0,543394.0,14373.0,85601.0,343076.0,21639.0,78705.0,1373487.0,16763.0,,922373.0,922373.0,,
ASSAM,2012-13,Revised Estimates,3740100.0,2272168.0,1557500.0,914301.0,152439.0,25542.0,33361.0,1421.0,92459.0,76241.0,18013.0,111201.0,49175.0,77155.0,6192.0,714668.0,226280.0,76369.0,5093.0,27408.0,3970.0,9559.0,56302.0,10.0,15834.0,16648.0,,13071.0,2016.0,113906.0,96630.0,74475.0,10220.0,41419.0,22493.0,2150.0,2102.0,42374.0,33223.0,9151.0,,92372.0,78456.0,13917.0,1734.0,64746.0,50092.0,4618.0,84.0,9953.0,1066355.0,36019.0,37990.0,35857.0,192.0,231563.0,13400.0,218163.0,12919.0,157742.0,87204.0,62076.0,47502.0,,451736.0,93098.0,12077.0,259624.0,21009.0,65928.0,272906.0,36141.0,,401577.0,401577.0,,
PUNJAB,2012-13,Accounts,3945794.0,2034206.0,1118997.0,662881.0,162256.0,17131.0,39890.0,,14572.0,39653.0,15663.0,112745.0,12091.0,36985.0,5128.0,915209.0,126560.0,32424.0,10007.0,30431.0,3005.0,1490.0,13734.0,,,26534.0,,8420.0,513.0,53518.0,,107083.0,82117.0,13699.0,11266.0,506023.0,505939.0,7214.0,6949.0,265.0,,70153.0,39894.0,30259.0,550.0,44108.0,5209.0,2435.0,34081.0,2383.0,1857215.0,49075.0,40148.0,39317.0,830.0,683100.0,,683100.0,19232.0,526558.0,298699.0,203604.0,109760.0,27550.0,479699.0,13933.0,23854.0,359824.0,30673.0,51416.0,596628.0,8567.0,8266.0,54373.0,54373.0,,
KERALA,2012-13,Revised Estimates,5167564.0,2627599.0,1881598.0,1014356.0,277443.0,39855.0,53659.0,9736.0,74387.0,133151.0,68777.0,171225.0,297.0,26130.0,12581.0,746001.0,349665.0,108158.0,5952.0,34604.0,13335.0,19177.0,34438.0,,77656.0,29432.0,,21246.0,5666.0,62780.0,5491.0,44784.0,22867.0,19392.0,1710.0,16130.0,12833.0,37368.0,28593.0,8275.0,500.0,166061.0,142028.0,24033.0,13186.0,50537.0,18076.0,20689.0,1392.0,10381.0,2123422.0,54512.0,101041.0,84321.0,16720.0,704540.0,,704540.0,37291.0,490346.0,329548.0,108952.0,176903.0,,288924.0,14101.0,22425.0,176863.0,12757.0,62779.0,846731.0,127673.0,121600.0,416543.0,416543.0,,
ASSAM,2012-13,Budget Estimates,3629886.0,2203685.0,1500018.0,910453.0,148748.0,25542.0,32925.0,1391.0,92459.0,75515.0,17530.0,110283.0,49175.0,30481.0,5516.0,703667.0,222686.0,76239.0,5079.0,26451.0,3970.0,9101.0,56302.0,10.0,15714.0,16648.0,,12551.0,622.0,113601.0,96524.0,74474.0,10220.0,41418.0,22493.0,250.0,202.0,39669.0,32446.0,7223.0,,90362.0,77130.0,13232.0,1734.0,64368.0,50084.0,4249.0,84.0,9951.0,1033007.0,34748.0,37229.0,37040.0,189.0,225395.0,13400.0,211995.0,12828.0,151665.0,81127.0,62076.0,47502.0,,440607.0,91922.0,11458.0,253715.0,20931.0,62581.0,258887.0,36141.0,,393194.0,393194.0,,
PUDUCHERRY,2012-13,Revised Estimates,317574.0,201356.0,132364.0,51811.0,29450.0,739.0,5234.0,1337.0,6554.0,6905.0,2254.0,24248.0,2959.0,110.0,762.0,68993.0,20136.0,4302.0,204.0,2731.0,87.0,5013.0,451.0,,4602.0,1684.0,,538.0,524.0,1572.0,,2044.0,,1826.0,218.0,27200.0,27200.0,7596.0,1810.0,5786.0,,4875.0,3971.0,904.0,294.0,5276.0,563.0,3393.0,839.0,481.0,115701.0,2899.0,3662.0,3662.0,,47927.0,3027.0,44900.0,18973.0,22413.0,19721.0,,3484.0,31.0,23913.0,1890.0,385.0,11464.0,3221.0,6954.0,37177.0,123.0,,516.0,516.0,,
ODISHA,2012-13,Revised Estimates,4265132.0,2712707.0,1623469.0,790641.0,156323.0,25536.0,59923.0,21766.0,27222.0,134351.0,11418.0,251609.0,70529.0,62009.0,12143.0,1089238.0,415031.0,157152.0,14661.0,22523.0,165.0,10096.0,46791.0,,125285.0,9426.0,,28497.0,436.0,255940.0,,109777.0,52836.0,34398.0,12853.0,2104.0,977.0,29164.0,18425.0,10664.0,75.0,150957.0,148315.0,2642.0,12572.0,113693.0,103958.0,3286.0,456.0,5993.0,1487817.0,35388.0,53023.0,52598.0,425.0,501166.0,50007.0,451159.0,47955.0,160166.0,35398.0,83776.0,243037.0,1.0,316290.0,14771.0,10628.0,168780.0,70606.0,51506.0,580000.0,1949.0,,64608.0,64608.0,,
DELHI,2012-13,Budget Estimates,2269787.0,1535735.0,1273736.0,532988.0,280848.0,4117.0,58975.0,53405.0,161843.0,29842.0,10112.0,108329.0,27910.0,1719.0,3650.0,261999.0,8644.0,1973.0,36.0,1693.0,200.0,56.0,3140.0,,,144.0,,1125.0,277.0,993.0,,10782.0,,1301.0,9481.0,68300.0,67800.0,3280.0,3266.0,15.0,,132471.0,51800.0,80671.0,2084.0,35445.0,757.0,3479.0,23981.0,7227.0,650675.0,60519.0,131036.0,131021.0,15.0,330000.0,,330000.0,330000.0,,,,,,115705.0,15806.0,12549.0,1667.0,42566.0,43117.0,12500.0,915.0,,83377.0,83377.0,,
DELHI,2012-13,Revised Estimates,2205383.0,1522905.0,1261678.0,528372.0,264496.0,8627.0,52340.0,50407.0,162493.0,28682.0,8997.0,122363.0,29830.0,2152.0,2920.0,261227.0,9203.0,2155.0,35.0,1486.0,900.0,42.0,3266.0,,,181.0,,941.0,197.0,838.0,,11848.0,,1292.0,10556.0,69545.0,69245.0,3624.0,3512.0,112.0,,137637.0,42425.0,95212.0,3436.0,25096.0,662.0,3425.0,13933.0,7076.0,599101.0,57807.0,157872.0,157862.0,10.0,286300.0,,286300.0,286300.0,,,,,,96066.0,5906.0,12558.0,1594.0,40527.0,35480.0,250.0,806.0,,83377.0,83377.0,,
UTTARAKHAND,2012-13,Budget Estimates,1571711.0,942525.0,685651.0,411313.0,80458.0,9565.0,37329.0,194.0,21545.0,23691.0,7825.0,68875.0,,17482.0,7374.0,256874.0,139417.0,39718.0,,10577.0,1275.0,650.0,33116.0,50.0,37689.0,12440.0,,3903.0,,42370.0,,34649.0,27354.0,6885.0,410.0,1282.0,22.0,4199.0,3754.0,445.0,,24525.0,21300.0,3225.0,1585.0,8848.0,955.0,5113.0,398.0,2382.0,544394.0,22119.0,24116.0,23589.0,527.0,218500.0,16000.0,202500.0,5000.0,151174.0,61374.0,73000.0,37300.0,9026.0,135479.0,14297.0,7688.0,70971.0,27645.0,14877.0,143980.0,200.0,,84792.0,84792.0,,
UTTARAKHAND,2012-13,Revised Estimates,1598532.0,945510.0,691952.0,411919.0,84368.0,9809.0,34834.0,194.0,15714.0,24881.0,9472.0,72377.0,,17482.0,10904.0,253558.0,132719.0,40483.0,,11979.0,1295.0,650.0,37500.0,50.0,22704.0,13940.0,,4120.0,,41987.0,,34689.0,27364.0,6914.0,410.0,1375.0,22.0,4708.0,4196.0,512.0,,24748.0,21500.0,3248.0,1635.0,11696.0,955.0,7275.0,405.0,3062.0,568230.0,23953.0,24238.0,23711.0,527.0,227908.0,16000.0,211908.0,5000.0,151174.0,61374.0,73000.0,37300.0,18434.0,147950.0,9691.0,7991.0,82317.0,32373.0,15577.0,143980.0,200.0,,84792.0,84792.0,,
HARYANA,2012-13,Revised Estimates,4098746.0,2848722.0,1629378.0,779398.0,172685.0,12335.0,114125.0,2345.0,202347.0,36788.0,25319.0,226545.0,16956.0,30927.0,9608.0,1219345.0,188092.0,58422.0,4704.0,42769.0,135.0,2312.0,25116.0,,754.0,23108.0,,30606.0,167.0,134292.0,,141524.0,126599.0,773.0,,514089.0,513253.0,11729.0,5084.0,6645.0,,210423.0,71819.0,138604.0,2690.0,16506.0,12213.0,284.0,1010.0,2999.0,1227527.0,56832.0,27981.0,27859.0,122.0,532329.0,21084.0,511245.0,13476.0,422344.0,193414.0,111770.0,72194.0,3231.0,259770.0,10068.0,12813.0,188141.0,23795.0,24953.0,350000.0,614.0,22.0,22497.0,22497.0,,
TRIPURA,2012-13,Accounts,521288.0,293680.0,205537.0,97639.0,20936.0,2113.0,3232.0,226.0,17708.0,22982.0,1853.0,30444.0,6173.0,52.0,2180.0,88143.0,35851.0,17139.0,655.0,5441.0,117.0,3163.0,6761.0,,1263.0,39.0,,1263.0,10.0,16353.0,220.0,4129.0,10.0,3679.0,439.0,4225.0,4112.0,5358.0,3470.0,,1887.0,17201.0,15344.0,1857.0,373.0,4434.0,252.0,150.0,3392.0,639.0,216748.0,6441.0,3542.0,3361.0,180.0,60781.0,7500.0,53281.0,3179.0,30876.0,14840.0,11921.0,19226.0,,76566.0,3299.0,3698.0,58588.0,2962.0,8018.0,69419.0,,,10860.0,10860.0,,
HIMACHAL PRADESH,2012-13,Revised Estimates,1638100.0,999623.0,625706.0,356434.0,88399.0,13304.0,62831.0,3134.0,18027.0,7047.0,5153.0,42298.0,5112.0,19131.0,4835.0,373918.0,126546.0,31870.0,3828.0,20240.0,1522.0,2163.0,37006.0,103.0,15919.0,11295.0,,2601.0,,45718.0,,26599.0,1777.0,24796.0,26.0,27151.0,26755.0,7288.0,5924.0,1364.0,,132820.0,115072.0,17749.0,562.0,7232.0,2313.0,1934.0,851.0,2133.0,637759.0,19579.0,21012.0,20920.0,91.0,229684.0,,229684.0,7269.0,162628.0,84546.0,48741.0,59786.0,,116776.0,5987.0,14586.0,58839.0,21506.0,15858.0,249456.0,1252.0,,718.0,718.0,,
BIHAR,2012-13,Accounts,5446614.0,3581732.0,2310737.0,1408017.0,151172.0,32417.0,36221.0,80474.0,113720.0,175056.0,9335.0,200459.0,79969.0,21125.0,2772.0,1270995.0,317022.0,184390.0,2835.0,26823.0,16252.0,9429.0,16585.0,,2761.0,30716.0,,26888.0,343.0,343225.0,,91418.0,39947.0,26171.0,20095.0,319994.0,319338.0,53389.0,6299.0,47090.0,,82551.0,82284.0,267.0,,63397.0,8383.0,2516.0,48115.0,4384.0,1864511.0,71068.0,59026.0,58687.0,339.0,468326.0,25495.0,442831.0,46960.0,348062.0,159989.0,182390.0,47557.0,252.0,428851.0,14082.0,24319.0,318786.0,26778.0,44886.0,836353.0,887.0,,371.0,371.0,,
PUDUCHERRY,2012-13,Budget Estimates,483554.0,363857.0,267226.0,61993.0,41918.0,522.0,8639.0,5842.0,16356.0,18923.0,2575.0,25158.0,3857.0,80466.0,977.0,96631.0,30779.0,7748.0,210.0,3508.0,612.0,7036.0,521.0,,7167.0,2420.0,,763.0,795.0,2973.0,1625.0,2947.0,,2607.0,340.0,16756.0,16756.0,12092.0,3294.0,8798.0,,11080.0,10095.0,985.0,380.0,18000.0,844.0,14992.0,1451.0,713.0,119178.0,3210.0,4198.0,4198.0,,45620.0,4000.0,41620.0,19237.0,19376.0,18011.0,,2910.0,97.0,32771.0,1624.0,423.0,14763.0,7410.0,8552.0,33254.0,125.0,,520.0,520.0,,
BIHAR,2012-13,Revised Estimates,6745277.0,4510531.0,2893699.0,1699417.0,210728.0,43321.0,46332.0,100749.0,145037.0,192649.0,10991.0,288849.0,99098.0,44493.0,12035.0,1616832.0,422501.0,252821.0,5048.0,59726.0,17432.0,14148.0,18600.0,,326.0,31695.0,,22196.0,510.0,441616.0,,114796.0,45746.0,35232.0,24818.0,329178.0,327001.0,68974.0,7905.0,61069.0,,101584.0,101186.0,,,138182.0,52561.0,2599.0,52819.0,30203.0,2234334.0,96308.0,74759.0,74345.0,415.0,548765.0,29800.0,518965.0,47973.0,392088.0,177149.0,186617.0,78375.0,529.0,510192.0,17138.0,43114.0,354094.0,33025.0,62821.0,1004308.0,,,412.0,412.0,,
BIHAR,2012-13,Budget Estimates,6095927.0,3876250.0,2563267.0,1508780.0,210167.0,43321.0,40848.0,93749.0,133383.0,112521.0,10820.0,268299.0,85698.0,43821.0,11859.0,1312983.0,262545.0,156096.0,2866.0,28248.0,6385.0,9224.0,18591.0,,,28644.0,,11985.0,508.0,411584.0,,114600.0,45541.0,35170.0,24889.0,218177.0,216000.0,68847.0,7888.0,60960.0,,101739.0,101186.0,553.0,,135490.0,52618.0,1574.0,45417.0,35880.0,2219265.0,94679.0,66693.0,66279.0,415.0,548400.0,29800.0,518600.0,47973.0,391723.0,177149.0,186617.0,78375.0,529.0,505190.0,16900.0,42165.0,354270.0,32454.0,59402.0,1004302.0,,,412.0,412.0,,
WEST BENGAL,2012-13,Budget Estimates,8371940.0,4702845.0,3481324.0,1707224.0,380782.0,57566.0,88518.0,14912.0,429081.0,74525.0,25720.0,554026.0,82465.0,34674.0,31830.0,1221522.0,270491.0,94606.0,4631.0,37648.0,16123.0,13909.0,42052.0,,18990.0,14388.0,,21938.0,6205.0,382585.0,125501.0,122912.0,42936.0,56581.0,22395.0,64505.0,63300.0,86738.0,36364.0,50374.0,,124846.0,58141.0,66705.0,4776.0,39168.0,10208.0,4897.0,5931.0,18132.0,3615500.0,72600.0,132408.0,128972.0,3436.0,1814116.0,3200.0,1810916.0,92286.0,1576819.0,754998.0,768073.0,68500.0,73310.0,632440.0,19672.0,17902.0,402094.0,85426.0,107345.0,958205.0,5732.0,5531.0,53595.0,53595.0,,
WEST BENGAL,2012-13,Revised Estimates,8536232.0,4987284.0,3625853.0,1797110.0,365928.0,39581.0,66936.0,30897.0,399935.0,90268.0,25360.0,649002.0,82518.0,34136.0,44182.0,1361431.0,266123.0,92421.0,9166.0,37534.0,14687.0,11770.0,42056.0,,18602.0,14802.0,,18967.0,6117.0,448662.0,140268.0,117582.0,42644.0,51494.0,22444.0,160480.0,159540.0,82341.0,36005.0,46336.0,,106615.0,50717.0,55898.0,5224.0,34134.0,10601.0,3988.0,5788.0,13757.0,3492993.0,68008.0,121756.0,118320.0,3436.0,1785973.0,5000.0,1780973.0,88856.0,1553453.0,751919.0,755330.0,69000.0,69665.0,587774.0,25591.0,15407.0,364304.0,86864.0,95608.0,923756.0,5726.0,5531.0,55955.0,55955.0,,
RAJASTHAN,2012-13,Revised Estimates,6771189.0,4633958.0,2695654.0,1394396.0,314988.0,67452.0,175426.0,5338.0,260566.0,89996.0,35096.0,127562.0,132475.0,78490.0,13869.0,1938303.0,338734.0,171964.0,4857.0,47149.0,127.0,1335.0,58119.0,,,13066.0,,41407.0,710.0,511761.0,75.0,160991.0,139085.0,19959.0,,661003.0,660793.0,26098.0,6571.0,19528.0,,146354.0,135623.0,10731.0,4877.0,88410.0,5524.0,2762.0,69799.0,10325.0,2103401.0,58546.0,109679.0,109465.0,213.0,849501.0,,849501.0,53822.0,550544.0,318192.0,198518.0,232941.0,12195.0,358048.0,13308.0,31143.0,255304.0,12495.0,45798.0,703876.0,23752.0,,33830.0,33830.0,,
RAJASTHAN,2012-13,Accounts,6346179.0,4270096.0,2529294.0,1295248.0,292144.0,75639.0,169650.0,4093.0,246349.0,80964.0,34444.0,118649.0,122488.0,78105.0,11523.0,1740802.0,305052.0,153315.0,2400.0,45100.0,121.0,1253.0,49389.0,,,13022.0,,39812.0,639.0,478033.0,69.0,156819.0,137367.0,17638.0,,560953.0,560793.0,21187.0,5294.0,15893.0,,132083.0,122277.0,9806.0,3062.0,83544.0,4227.0,2707.0,67596.0,9014.0,2049580.0,55226.0,103120.0,102939.0,182.0,834005.0,,834005.0,53436.0,544515.0,318191.0,193784.0,223777.0,12278.0,347738.0,12065.0,28601.0,251888.0,12321.0,42865.0,685769.0,23722.0,,26503.0,26503.0,,
SIKKIM,2012-13,Budget Estimates,357002.0,185846.0,105184.0,54009.0,12422.0,1714.0,1651.0,16627.0,2155.0,4161.0,655.0,4619.0,1423.0,2730.0,3017.0,80662.0,28385.0,5508.0,637.0,3221.0,199.0,370.0,11027.0,478.0,1944.0,,,1123.0,3878.0,11143.0,100.0,14785.0,,14175.0,410.0,9688.0,9638.0,2486.0,1436.0,1050.0,,10382.0,6726.0,3657.0,283.0,3410.0,756.0,1306.0,54.0,1294.0,166168.0,5426.0,5901.0,5901.0,,21338.0,1200.0,20138.0,1362.0,14681.0,10759.0,1616.0,4095.0,,35146.0,2717.0,898.0,22771.0,1571.0,7189.0,23966.0,74391.0,73099.0,4988.0,4988.0,,
SIKKIM,2012-13,Revised Estimates,359437.0,188281.0,106828.0,54885.0,12604.0,1714.0,1723.0,16627.0,2259.0,4461.0,655.0,4730.0,1423.0,2730.0,3017.0,81453.0,28880.0,5518.0,637.0,3269.0,289.0,415.0,11028.0,478.0,1944.0,,,1123.0,4178.0,10769.0,110.0,14985.0,,14175.0,610.0,9738.0,9638.0,2486.0,1436.0,1050.0,,10572.0,6916.0,3657.0,316.0,3596.0,648.0,1454.0,54.0,1441.0,166168.0,5426.0,5901.0,5901.0,,21338.0,1200.0,20138.0,1362.0,14681.0,10759.0,1616.0,4095.0,,35146.0,2717.0,898.0,22721.0,1571.0,7239.0,23966.0,74391.0,73099.0,4988.0,4988.0,,
ANDHRA PRADESH,2012-13,Accounts,10270238.0,6948024.0,4160560.0,1638996.0,417160.0,117418.0,64782.0,67250.0,200196.0,718958.0,28084.0,474289.0,335673.0,73700.0,24054.0,2787464.0,464176.0,288159.0,3306.0,56308.0,,7248.0,37436.0,,150.0,54295.0,,16192.0,1081.0,356293.0,,888444.0,839421.0,36706.0,10851.0,629206.0,628860.0,91183.0,51371.0,38718.0,1094.0,215446.0,192111.0,23335.0,3003.0,139713.0,94807.0,5549.0,27341.0,12016.0,3306370.0,85585.0,103930.0,97586.0,6344.0,1235373.0,69187.0,1166186.0,94110.0,981844.0,643314.0,256407.0,90233.0,,672510.0,15241.0,95387.0,450015.0,31100.0,80767.0,1208930.0,41.0,,15845.0,15845.0,,
SIKKIM,2012-13,Accounts,301235.0,160357.0,94747.0,52833.0,12567.0,1670.0,1903.0,10635.0,2043.0,1999.0,420.0,4072.0,1055.0,2620.0,2930.0,65611.0,21311.0,5422.0,699.0,2927.0,299.0,433.0,4255.0,475.0,1721.0,,,1107.0,3972.0,10929.0,109.0,5518.0,,4907.0,611.0,10730.0,10630.0,2528.0,1591.0,937.0,,10723.0,7139.0,3584.0,162.0,3600.0,574.0,1586.0,47.0,1393.0,138584.0,4883.0,5820.0,5820.0,,21092.0,1200.0,19892.0,1248.0,13806.0,10066.0,1430.0,4838.0,,33064.0,2726.0,887.0,19583.0,2909.0,6961.0,22517.0,51207.0,50496.0,2294.0,2294.0,,
KARNATAKA,2012-13,Accounts,7629326.0,5209399.0,3041980.0,1462426.0,313948.0,42832.0,28171.0,155314.0,52501.0,358125.0,29410.0,381349.0,76123.0,96755.0,45025.0,2167419.0,741747.0,178160.0,22573.0,51162.0,33986.0,8765.0,158567.0,,104467.0,34210.0,,149856.0,,237775.0,10273.0,74797.0,33777.0,17802.0,50.0,707037.0,705425.0,72295.0,54208.0,18087.0,,202387.0,161998.0,40389.0,6009.0,115099.0,18458.0,8963.0,952.0,86725.0,2018084.0,77910.0,82077.0,81321.0,756.0,683343.0,,683343.0,76137.0,482341.0,256731.0,199714.0,124554.0,311.0,445593.0,12328.0,38592.0,256975.0,76318.0,61379.0,722744.0,6418.0,,401842.0,401843.0,,
ANDHRA PRADESH,2012-13,Revised Estimates,10781497.0,7378761.0,4469287.0,1807362.0,474466.0,99670.0,74462.0,90236.0,315130.0,690425.0,29539.0,462948.0,400105.0,1008.0,23937.0,2909474.0,532626.0,305903.0,6592.0,70344.0,,15826.0,50432.0,,,55850.0,,27960.0,280.0,591122.0,,810986.0,750792.0,49050.0,8763.0,630650.0,630034.0,98532.0,51545.0,45688.0,1300.0,175952.0,151896.0,24056.0,2895.0,66710.0,36602.0,1812.0,17300.0,10996.0,3372398.0,94082.0,116215.0,115818.0,397.0,1266890.0,69187.0,1197703.0,115283.0,992250.0,639205.0,256042.0,90169.0,1.0,687121.0,21192.0,131477.0,405919.0,42910.0,85623.0,1208072.0,17.0,,30338.0,30338.0,,
KERALA,2012-13,Budget Estimates,5160536.0,2657755.0,1919640.0,1031609.0,279240.0,39855.0,66525.0,9114.0,104794.0,133002.0,68854.0,160877.0,292.0,14862.0,10616.0,738115.0,333644.0,107325.0,5937.0,36490.0,13323.0,20182.0,35457.0,,62160.0,30438.0,,17714.0,4619.0,65965.0,11530.0,44684.0,20390.0,19067.0,4427.0,10050.0,5333.0,39863.0,31553.0,8309.0,,169679.0,148412.0,21267.0,11260.0,51439.0,19467.0,20165.0,1434.0,10374.0,2088978.0,52195.0,94554.0,83877.0,10676.0,723433.0,,723433.0,40962.0,491276.0,327664.0,108952.0,191194.0,,292168.0,13567.0,22469.0,177865.0,16562.0,61704.0,817805.0,108825.0,107734.0,413803.0,413803.0,,
PUNJAB,2012-13,Revised Estimates,4402765.0,2443637.0,1367214.0,772137.0,211127.0,20625.0,39969.0,,16157.0,78629.0,17159.0,141091.0,16340.0,47919.0,6061.0,1076423.0,149302.0,47786.0,12780.0,31747.0,3879.0,2036.0,15209.0,,,26727.0,,8601.0,538.0,58202.0,,119843.0,93381.0,13895.0,12567.0,578580.0,578495.0,7869.0,7464.0,405.0,,63333.0,30953.0,32380.0,571.0,98723.0,8540.0,3139.0,83699.0,3345.0,1881898.0,51223.0,46534.0,45660.0,874.0,698628.0,,698628.0,20318.0,525349.0,305118.0,199876.0,125179.0,27782.0,495098.0,14959.0,27474.0,361503.0,36525.0,54637.0,585440.0,4975.0,4500.0,77230.0,77230.0,,
HARYANA,2012-13,Accounts,3807172.0,2607309.0,1451635.0,702351.0,147279.0,12406.0,109790.0,2800.0,160229.0,33644.0,23265.0,216637.0,16637.0,19449.0,7149.0,1155673.0,170562.0,45408.0,4434.0,40538.0,120.0,2082.0,24712.0,,1325.0,22616.0,,29182.0,146.0,128996.0,,105945.0,92271.0,753.0,,514031.0,513253.0,8690.0,4392.0,4298.0,,211003.0,80960.0,130044.0,2601.0,13845.0,11804.0,281.0,10.0,1750.0,1189675.0,49848.0,27057.0,26972.0,85.0,495532.0,21084.0,474448.0,12177.0,384583.0,190010.0,112900.0,74836.0,2852.0,253069.0,9853.0,12428.0,183939.0,23900.0,22948.0,363564.0,605.0,18.0,10189.0,10189.0,,
JHARKHAND,2012-13,Budget Estimates,2780055.0,1924395.0,1161128.0,614913.0,81851.0,30081.0,41296.0,4160.0,35636.0,76356.0,22919.0,157484.0,44746.0,44250.0,7437.0,763267.0,123270.0,45547.0,5236.0,14578.0,8387.0,4219.0,28907.0,,,8053.0,,7529.0,815.0,230584.0,,38825.0,30431.0,7694.0,100.0,152185.0,139685.0,26563.0,14401.0,12161.0,,91970.0,38208.0,53763.0,,99870.0,3251.0,1114.0,88864.0,6641.0,855605.0,34887.0,34774.0,34485.0,290.0,243458.0,,243458.0,23271.0,200798.0,61104.0,98564.0,18935.0,453.0,319710.0,6977.0,50771.0,231837.0,8756.0,21370.0,222775.0,,,55.0,55.0,,
ARUNACHAL PRADESH,2012-13,Accounts,478624.0,336278.0,150628.0,69790.0,24584.0,1343.0,20250.0,1640.0,1617.0,,1224.0,10265.0,3185.0,14578.0,2153.0,185650.0,44134.0,12747.0,3896.0,6991.0,178.0,3697.0,11928.0,,2194.0,1384.0,,862.0,256.0,9034.0,16270.0,13595.0,80.0,13458.0,,38752.0,38067.0,4735.0,3798.0,757.0,180.0,41444.0,33925.0,7519.0,1423.0,16264.0,11060.0,1461.0,1933.0,1810.0,142346.0,5639.0,2116.0,2033.0,82.0,29185.0,2000.0,27185.0,,,,,,27185.0,72298.0,6807.0,13762.0,35045.0,12317.0,4367.0,33070.0,39.0,,,,,
MIZORAM,2012-13,Budget Estimates,416872.0,282820.0,143637.0,74656.0,17435.0,842.0,10683.0,646.0,4277.0,24337.0,776.0,5776.0,1680.0,1500.0,1030.0,139183.0,66931.0,30926.0,5991.0,11247.0,148.0,2424.0,9626.0,,4087.0,909.0,,1200.0,374.0,6293.0,3798.0,1157.0,1.0,983.0,,27535.0,27495.0,12203.0,11711.0,492.0,,13212.0,9030.0,4182.0,168.0,7885.0,3912.0,599.0,1506.0,1868.0,134052.0,5295.0,5392.0,5288.0,104.0,26140.0,1940.0,24200.0,2424.0,13380.0,12181.0,1200.0,8395.0,1.0,70176.0,12240.0,3086.0,36865.0,4615.0,13370.0,26872.0,177.0,177.0,,,,
TAMIL NADU,2012-13,Revised Estimates,10132587.0,6009877.0,3979981.0,1744766.0,447578.0,88934.0,29464.0,75020.0,203500.0,216674.0,39941.0,818196.0,261910.0,37287.0,16711.0,2029896.0,634595.0,380667.0,14032.0,62985.0,6277.0,27098.0,30519.0,5.0,,45593.0,,54931.0,12489.0,132913.0,1267.0,86875.0,71616.0,9148.0,4157.0,287119.0,286817.0,208466.0,89787.0,118679.0,,120651.0,97012.0,23639.0,1627.0,556383.0,7736.0,5064.0,527132.0,16451.0,3199381.0,79639.0,89047.0,84401.0,4646.0,1044563.0,25000.0,1019563.0,51873.0,817551.0,534826.0,233864.0,139370.0,10769.0,591131.0,16042.0,88178.0,366786.0,38061.0,82065.0,1368047.0,26953.0,,923328.0,923328.0,,
